team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
NYR,2023,NYR,NYR,Team Level,other,82,0.59,0.57,0.57,11238,179.46,45.97,12.86,32.03,6.49,98.05,58.6,42.14,45.97,42.14,158,96,94,348,49,20,6,20,3,104,58,109,205,2,7,130,29,28,22,127,60,67,4.69,7.45,33.83,7,10,32,348,254,254,8,3.7,4.83,4.83,44.84,44.84,41.79,141.28,31.46,9.81,26.06,4.62,72.77,47.28,30.03,31.46,30.03,128,64,71,263,22,14,1,17,2,67,70,106,170,5,13,130,33,17,26,112,34,46,4.84,3.9,22.71,5,1,16,263,192,192,10,2.81,4.43,4.43,29.84,29.84,29.15
NYR,2023,NYR,NYR,Team Level,all,82,0.52,0.51,0.52,298478,2719.29,267.6,184.93,657.11,92.09,1503.48,1078.8,254.2,268.54,255.12,2582,1202,1382,5166,278,255,41,492,16,1404,1339,2304,3506,283,639,2380,1981,563,588,2845,647,292,82.38,78.91,106.3,102,90,86,5181.96,3784,3797.81,316,41.33,51.89,51.99,256.94,257.75,248.7,2568.98,249.94,172.62,633.54,87.81,1377.13,1009.94,237.65,249.47,237.23,2419,1112,1372,4903,226,293,28,412,17,1243,1340,2193,3305,297,668,2174,1683,485,551,2632,620,279,74.27,77.71,97.96,75,87,64,4872.69,3531,3515.76,285,38.29,57.55,57.62,230.61,230.43,224.52
NYR,2023,NYR,NYR,Team Level,5on5,82,0.49,0.5,0.5,242468,2063.53,162.67,132.56,527.27,69.22,1133.41,839.87,157.08,163.61,158,1974,891,1101,3966,166,190,23,411,11,1022,1065,1808,2699,256,582,1821,1869,445,493,2254,458,153,64.86,55.14,42.68,86,61,19,3981.96,2865,2878.81,280,27.47,35.89,36.3,153.85,154.67,151.91,2048.61,167.47,131.6,526.74,70.42,1097.85,824.92,160.99,167,160.57,1931,888,1132,3951,165,234,26,336,13,986,1085,1766,2654,260,593,1669,1579,410,447,2176,478,165,60.04,61.24,46.19,68,69,28,3920.69,2819,2803.76,250,27.28,43.53,44.14,150.61,150.43,147.99
NYR,2023,NYR,NYR,Team Level,4on5,82,0.15,0.17,0.19,22916,80.56,8.53,4.5,12,2.59,25.9,54.48,8.37,8.53,8.37,72,36,13,121,7,7,1,4,1,20,69,65,101,10,20,174,61,73,25,70,26,12,1.97,3.2,3.36,1,5,1,121,108,108,20,1.03,1.2,1.2,8.35,8.35,8.3,325.82,47.11,28.58,72.76,10.94,188.04,98.57,42.77,47.11,42.77,298,148,155,601,36,44,1,56,2,177,131,262,410,23,44,223,25,15,56,290,90,66,8.08,10.38,28.65,1,15,20,601,446,446,4,7.6,9.44,8.91,45.8,45.8,43.06
NYR,2023,NYR,NYR,Team Level,5on4,82,0.93,0.89,0.88,21856,395.75,50.43,35.01,85.81,13.78,246.11,125.87,46.61,50.43,46.61,378,179,174,731,56,38,11,57,1,258,147,322,501,15,30,255,22,17,48,394,103,60,10.87,13.11,26.44,8,14,34,731,557,557,8,9.13,9.96,9.67,49.88,49.88,46.69,53.29,3.91,2.63,7.99,1.84,18.46,39.17,3.87,3.91,3.87,62,12,14,88,3,1,0,3,0,13,54,59,71,9,18,152,46,43,22,54,18,2,1.31,2.19,0.41,1,2,0,88,74,74,21,0.6,0.15,0.15,4.36,4.36,4.32
TBL,2023,TBL,TBL,Team Level,other,82,0.48,0.5,0.49,11158,152.12,39.92,10.93,25.76,5.05,81.56,46.79,35.3,39.92,35.3,146,64,80,290,43,16,3,23,0,69,59,103,167,7,17,139,35,23,20,93,58,59,3.9,7.31,28.72,5,10,28,290,210,210,5,3.24,6.18,6.18,36.98,36.98,34.33,161.49,44.04,11.96,28.32,5.54,81.71,50.44,40.67,44.04,40.67,155,67,63,285,37,16,2,28,3,71,67,118,185,6,15,127,28,28,17,99,51,72,4.02,6.58,33.44,4,8,25,285,222,222,8,3.49,5.39,5.39,42.14,42.14,39.66
TBL,2023,TBL,TBL,Team Level,all,82,0.51,0.51,0.51,297761,2559.93,269.37,177.28,600.43,85.39,1383.75,1000.77,254.7,270.02,255.34,2402,1115,1428,4945,288,246,40,478,8,1241,1256,2114,3229,303,703,2331,1982,528,607,2517,702,298,73.8,87.81,107.76,90,108,90,4969.52,3517,3529.91,294,39.84,54.9,54.93,254.29,254.83,247.55,2474.16,260.06,170.12,590.31,83.81,1329.85,967.84,246.24,260.79,246.87,2430,972,1360,4762,267,272,29,441,14,1170,1238,2163,3135,312,720,2173,2053,602,531,2468,626,308,72.91,77.61,109.53,103,89,75,4757.9,3402,3408.26,279,37.92,58.02,58.02,239.96,240.42,232.65
TBL,2023,TBL,TBL,Team Level,5on5,82,0.5,0.51,0.5,242162,1946.64,166.07,129.12,481.28,64.85,1054.59,785.08,159.98,166.73,160.62,1814,867,1175,3856,172,180,25,376,7,958,988,1642,2509,270,620,1794,1859,433,514,2020,502,159,58.81,63.54,43.74,76,77,19,3880.52,2681,2693.91,266,26.87,36,36.03,156.9,157.45,154.66,1931.43,167.8,125.59,484.94,65.94,1035.3,776.44,161.02,168.53,161.64,1894,762,1119,3775,190,219,25,357,7,901,982,1704,2466,286,662,1660,1945,502,452,2013,463,180,58.02,57.49,52.28,88,72,30,3770.9,2656,2662.26,243,26.13,44.69,44.82,149.1,149.55,146.99
TBL,2023,TBL,TBL,Team Level,4on5,82,0.15,0.15,0.18,22610,74.59,7.88,4.28,11.75,2.7,24.73,49.66,7.6,7.88,7.6,78,23,10,111,5,6,0,5,0,22,63,73,96,11,30,192,71,59,23,67,24,10,2.13,3.07,2.67,2,2,1,111,101,101,19,0.98,1.39,1.39,7.46,7.46,7.36,322.42,43.12,29.61,68.43,10.56,193.63,99.67,39.51,43.12,39.51,319,126,166,611,35,35,2,56,4,183,132,284,410,12,24,197,31,13,37,298,96,51,9.02,11.58,22.52,9,8,18,611,445,445,5,7.63,7.65,7.52,43.23,43.23,40.55
TBL,2023,TBL,TBL,Team Level,5on4,82,0.92,0.88,0.87,21831,386.57,55.5,32.95,81.63,12.8,222.87,119.25,51.83,55.5,51.83,364,161,163,688,68,44,12,74,1,192,146,296,457,15,36,206,17,13,50,337,118,70,8.96,13.89,32.64,7,19,42,688,525,525,4,8.77,11.33,11.33,52.94,52.94,51.21,58.79,5.11,2.95,8.63,1.79,19.22,41.3,5.04,5.11,5.04,62,17,12,91,5,2,0,0,0,15,57,57,74,8,19,189,49,59,25,58,16,5,1.85,1.96,1.29,2,1,2,91,79,79,23,0.67,0.29,0.29,5.49,5.49,5.45
